id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_days_active,verification_count,property_type_category,bathrooms_type,amenities_count,review_mean
44077,2010-08-06,4,1,3,1,1,1,1,0,53.29178,-6.25792,27,2,2.0,6,1.0,2.0,5995,70.0,3.0,1125.0,228.88497850198831,31.0,7.0,2011-03-20,4.78,4.83,4.74,4.93,4.93,4.66,4.82,0,2.0,0.0,2.0,0.0,1.85,4419.0,2,2,6,994,0.061732870931843
85156,2010-08-06,4,1,3,1,1,1,1,0,53.29209,-6.25624,27,2,2.0,6,1.0,1.0,4345,67.0,3.0,21.0,210.0,28.0,4.0,2011-05-24,4.79,4.86,4.74,4.9,4.88,4.64,4.78,0,2.0,0.0,2.0,0.0,1.53,4419.0,2,2,6,657,0.0668106551542463
159889,2011-07-01,4,1,3,0,1,1,1,1,53.39027,-6.23547,37,2,1.0,8,1.0,1.0,4880,45.0,2.0,21.0,228.88497850198831,44.0,6.0,2012-03-20,4.74,4.77,4.71,4.86,4.9,4.63,4.74,0,3.0,0.0,3.0,0.0,2.78,4090.0,2,3,8,491,0.0863305761527789
162809,2011-07-04,4,3,2,1,1,1,1,0,53.28326,-6.19188,44,2,6.0,6,2.0,4.0,5778,80.0,1.0,12.0,228.88497850198831,41.0,1.0,2015-06-01,4.84,4.88,4.85,4.95,4.97,4.77,4.85,0,2.0,0.0,2.0,0.0,3.68,4087.0,2,3,6,892,0.0889743625969971
165828,2011-07-07,4,1,3,0,1,1,1,1,53.33744,-6.32363,16,0,5.0,2,1.0,3.0,2806,251.0,3.0,365.0,64.0,17.0,0.0,2011-10-25,4.63,4.89,4.69,4.81,4.75,4.34,4.55,1,5.0,5.0,0.0,0.0,0.48,4084.0,2,0,3,482,0.0792911799139488
165829,2011-07-07,4,1,3,0,1,1,1,1,53.33744,-6.32363,16,0,5.0,2,1.0,3.0,4449,244.0,3.0,365.0,76.0,20.0,1.0,2012-01-22,4.69,4.85,4.75,4.78,4.73,4.39,4.59,1,5.0,5.0,0.0,0.0,0.59,4084.0,2,0,3,537,0.1104917974111807
178860,2011-07-23,4,1,3,0,1,1,1,1,53.33281,-6.2675,37,2,2.0,6,1.0,1.8325749464668093,4995,80.0,2.0,4.0,228.88497850198831,0.0,0.0,2012-09-05,4.88,4.94,4.88,4.95,4.96,4.94,4.84,0,2.0,1.0,1.0,0.0,2.57,4068.0,2,3,6,345,0.047179049365761
181823,2011-05-20,4,1,2,0,1,1,1,1,53.3374,-6.22061,37,2,1.0,4,1.0,1.0,2901,139.0,1.0,1125.0,50.0,0.0,0.0,2011-08-18,4.6,4.62,4.47,4.79,4.83,4.47,4.47,0,2.0,0.0,2.0,0.0,0.37,4132.0,2,3,4,378,0.0489042341295869
237465,2011-10-04,4,1,3,0,1,1,1,1,53.39558,-6.17524,16,0,2.0,5,1.0,3.0,6094,68.0,1.0,4.0,228.88497850198831,66.62614730882797,7.1321923032480665,2011-12-22,4.56,4.71,4.56,4.81,4.79,4.39,4.61,0,3.0,3.0,0.0,0.0,3.0,3995.0,2,0,5,454,0.0934027232992994
245903,2011-10-14,4,1,2,1,1,1,0,3,53.34636,-6.41734,37,2,1.0,6,1.0,1.0,5324,30.0,30.0,180.0,43.0,3.0,0.0,2012-09-03,4.93,4.93,4.9,4.98,5.0,4.66,4.85,0,1.0,0.0,1.0,0.0,0.35,3985.0,2,3,6,537,0.0544274357174161
